case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000,200,1,1,1,3,1.144075271,1.146292857,1.1470108,1,1.1470108,1,1
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000,200,1,1,1,3,0.6742018238,0.6750669268,0.6753695719,1,0.6753695719,1,1
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000,200,2,1,2,3,1.504284486,1.590225556,1.5123845,1,1.1470108,0.758412,0.379206
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000,200,2,1,2,3,0.8528426103,0.8680330788,0.8545780033,1,0.6753695719,0.790296,0.395148
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000,200,4,1,4,3,2.101522576,2.118302535,2.122898202,1,1.1470108,0.540304,0.135076
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000,200,4,1,4,3,1.162200373,1.166220171,1.162614495,1,0.6753695719,0.580906,0.145226
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000,200,8,1,8,3,3.409152005,3.577874201,3.618004497,1,1.1470108,0.317029,0.0396286
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000,200,8,1,8,3,1.896988064,1.912413581,1.910141353,1,0.6753695719,0.35357,0.0441963
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBGS,1000,200,16,1,16,3,7.145733982,7.567807251,7.563461717,1,1.1470108,0.151652,0.00947822
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,upwind,RBSOR,1000,200,16,1,16,3,3.968414821,4.782716677,4.25260324,1,0.6753695719,0.158813,0.00992583
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBGS,1000,200,1,1,1,3,0.9031774923,0.9056988582,0.9059580863,1,0.9059580863,1,1
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBSOR,1000,200,1,1,1,3,0.5173513964,0.5196549383,0.5207439959,1,0.5207439959,1,1
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBGS,1000,200,2,1,2,3,1.364917055,1.380606254,1.378000189,1,0.9059580863,0.657444,0.328722
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBSOR,1000,200,2,1,2,3,0.7545270622,0.7692160582,0.7694740929,1,0.5207439959,0.676753,0.338377
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBGS,1000,200,4,1,4,3,2.037067812,2.075751101,2.083616029,1,0.9059580863,0.434801,0.1087
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBSOR,1000,200,4,1,4,3,1.125358649,1.1408947,1.125896193,1,0.5207439959,0.462515,0.115629
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBGS,1000,200,8,1,8,3,3.513646278,3.583840194,3.608292703,1,0.9059580863,0.251077,0.0313846
case1_N32_Re100_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,upwind,RBSOR,1000,200,8,1,8,3,1.905333884,1.944928223,1.931355406,1,0.5207439959,0.269626,0.0337033
