case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBGS,1000,200,1,1,1,3,214.4769044,217.1689193,215.1559992,1,215.1559992,1,1
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBSOR,1000,200,1,1,1,3,106.116828,108.0552601,106.4662154,1,106.4662154,1,1
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBGS,1000,200,2,1,2,3,220.0990095,223.8106391,225.4958332,1,215.1559992,0.954146,0.477073
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBSOR,1000,200,2,1,2,3,109.5711412,114.2259984,114.483289,1,106.4662154,0.929972,0.464986
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBGS,1000,200,4,2,2,3,115.4289646,118.3043835,119.1750107,1,215.1559992,1.80538,0.451345
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBSOR,1000,200,4,2,2,3,58.2574594,59.4526461,59.63181901,1,106.4662154,1.78539,0.446348
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBGS,1000,200,8,4,2,3,66.61015272,67.33155425,67.07040143,1,215.1559992,3.20791,0.400989
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBSOR,1000,200,8,4,2,3,34.0741992,34.42751654,34.5301733,1,106.4662154,3.08328,0.38541
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBGS,1000,200,16,4,4,3,66.45757699,67.70355924,68.13503718,1,215.1559992,3.15779,0.197362
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,100,central,RBSOR,1000,200,16,4,4,3,33.0935564,34.03850977,34.34411502,1,106.4662154,3.09998,0.193749
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBGS,1000,200,1,1,1,3,21.20961618,21.28470119,21.21842527,1,21.21842527,1,1
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBSOR,1000,200,1,1,1,3,10.39655304,10.43305198,10.4505527,1,10.4505527,1,1
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBGS,1000,200,2,1,2,3,21.37792397,21.4356157,21.39590383,1,21.21842527,0.991705,0.495853
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBSOR,1000,200,2,1,2,3,10.32113099,10.37835224,10.40097332,1,10.4505527,1.00477,0.502383
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBGS,1000,200,4,2,2,3,18.58420515,18.62196914,18.61789441,1,21.21842527,1.13968,0.28492
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBSOR,1000,200,4,2,2,3,9.131325006,9.153381904,9.155686855,1,10.4505527,1.14143,0.285357
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBGS,1000,200,8,4,2,3,17.15052915,17.21241387,17.24317598,1,21.21842527,1.23054,0.153818
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBSOR,1000,200,8,4,2,3,8.384048224,8.390973568,8.389721155,1,10.4505527,1.24564,0.155705
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBGS,1000,200,16,4,4,3,17.04537463,17.1545078,17.17478442,1,21.21842527,1.23544,0.077215
case1_N32_Re100_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,100,central,RBSOR,1000,200,16,4,4,3,8.362437487,8.384436369,8.387861013,1,10.4505527,1.24591,0.0778696
