case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s
case1_N128_Re400_central_steps2500_p250,python_mpi_domain_looped,python,mpi_domain,looped,128,400,central,RBGS,2500,250,16,16,1,3,727.9779415,733.4300048,733.3960156,1,10190.9296,13.8955,0.868471,16,733.3960156
case1_N128_Re400_central_steps2500_p250,python_mpi_domain_looped,python,mpi_domain,looped,128,400,central,RBSOR,2500,250,16,16,1,3,556.502614,565.2477148,569.370429,1,7872.731811,13.8271,0.864193,16,569.370429
case1_N128_Re400_central_steps2500_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,128,400,central,RBGS,2500,250,16,16,1,3,70.55231619,70.74151429,70.77704787,1,435.2619827,6.14976,0.38436,16,70.77704787
case1_N128_Re400_central_steps2500_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,128,400,central,RBSOR,2500,250,16,16,1,3,53.74557161,53.78225215,53.74800515,1,333.3266129,6.20166,0.387603,16,53.74800515
