case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000,200,1,1,1,3,1.13337807,1.144092898,1.140899271,1,1.140899271,1,1
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000,200,1,1,1,3,0.6691173762,0.674124226,0.673324503,1,0.673324503,1,1
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000,200,2,1,2,3,1.480640367,1.581334258,1.510417744,1,1.140899271,0.755353,0.377677
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000,200,2,1,2,3,0.8608477004,0.86374014,0.8650187254,1,0.673324503,0.778393,0.389196
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000,200,4,1,4,3,2.09853166,2.122081871,2.128146295,1,1.140899271,0.5361,0.134025
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000,200,4,1,4,3,1.165865686,1.1707512,1.173190273,1,0.673324503,0.573926,0.143482
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000,200,8,1,8,3,3.485723324,3.507173803,3.496480763,1,1.140899271,0.326299,0.0407874
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000,200,8,1,8,3,1.907129932,1.950651851,1.919217411,1,0.673324503,0.350833,0.0438541
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000,200,16,1,16,3,7.354806423,7.585960377,7.377594356,1,1.140899271,0.154644,0.00966524
case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000,200,16,1,16,3,3.993738841,4.762309093,4.472543821,1,0.673324503,0.150546,0.00940914
