case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s
case1_N32_Re400_upwind_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,upwind,RBGS,1000,200,16,4,4,3,55.87153697,56.40380239,56.44481468,1,180.4995658,3.19781,0.199863,16,56.44481468
case1_N32_Re400_upwind_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,upwind,RBSOR,1000,200,16,4,4,3,29.11807203,29.4187928,29.48766875,1,95.0758338,3.22426,0.201516,16,29.48766875
case1_N32_Re400_upwind_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,upwind,RBGS,1000,200,16,4,4,3,13.94506145,13.96347213,13.962291,1,17.28915572,1.23827,0.0773922,16,13.962291
case1_N32_Re400_upwind_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,upwind,RBSOR,1000,200,16,4,4,3,7.195836306,7.208934625,7.19991374,1,8.971581936,1.24607,0.0778792,16,7.19991374
