case_index,case_id,N,Re,scheme,pressure,steps,poisson_iters,repeat,return_code,status,log_out,log_err
8,case8_N64_Re100_central_steps1000_p200,64,100,central,RBSOR,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case8_N64_Re100_central_steps1000_p200_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case8_N64_Re100_central_steps1000_p200_RBSOR_rep3.err
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBGS,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBGS_rep1.err
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBGS,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBGS_rep2.err
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBGS,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBGS_rep3.err
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBSOR,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBSOR_rep1.err
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBSOR,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBSOR_rep2.err
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBSOR,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case9_N64_Re400_upwind_steps1000_p200_RBSOR_rep3.err
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBGS,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBGS_rep1.err
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBGS,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBGS_rep2.err
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBGS,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBGS_rep3.err
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBSOR,1000,200,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBSOR_rep1.err
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBSOR,1000,200,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBSOR_rep2.err
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBSOR,1000,200,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case10_N64_Re400_central_steps1000_p200_RBSOR_rep3.err
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBGS,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBGS_rep1.err
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBGS,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBGS_rep2.err
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBGS,2000,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBGS_rep3.err
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBSOR,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBSOR_rep1.err
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBSOR,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBSOR_rep2.err
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBSOR,2000,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case11_N64_Re1000_upwind_steps2000_p250_RBSOR_rep3.err
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBGS,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBGS_rep1.err
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBGS,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBGS_rep2.err
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBGS,2000,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBGS_rep3.err
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBSOR,2000,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBSOR_rep1.err
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBSOR,2000,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBSOR_rep2.err
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBSOR,2000,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case12_N64_Re1000_central_steps2000_p250_RBSOR_rep3.err
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBGS,2500,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBGS_rep1.err
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBGS,2500,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBGS_rep2.err
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBGS,2500,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBGS_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBGS_rep3.err
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBSOR,2500,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBSOR_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBSOR_rep1.err
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBSOR,2500,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBSOR_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBSOR_rep2.err
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBSOR,2500,250,3,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBSOR_rep3.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case13_N128_Re100_upwind_steps2500_p250_RBSOR_rep3.err
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBGS,2500,250,1,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case14_N128_Re100_central_steps2500_p250_RBGS_rep1.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case14_N128_Re100_central_steps2500_p250_RBGS_rep1.err
14,case14_N128_Re100_central_steps2500_p250,128,100,central,RBGS,2500,250,2,0,success,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case14_N128_Re100_central_steps2500_p250_RBGS_rep2.out,saved_runs/cuda_cpu_exact_full_A100_21180878/logs/case14_N128_Re100_central_steps2500_p250_RBGS_rep2.err
