case_index,case_id,N,Re,scheme,pressure,steps,poisson_iters,repeat,field_file,status
8,case8_N64_Re100_central_steps1000_p200,64,100,central,RBSOR,1000,200,3,,success
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBGS,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case9_N64_Re400_upwind_steps1000_p200_RBGS_fields.csv,success
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBGS,1000,200,2,,success
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBGS,1000,200,3,,success
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBSOR,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case9_N64_Re400_upwind_steps1000_p200_RBSOR_fields.csv,success
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBSOR,1000,200,2,,success
9,case9_N64_Re400_upwind_steps1000_p200,64,400,upwind,RBSOR,1000,200,3,,success
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBGS,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case10_N64_Re400_central_steps1000_p200_RBGS_fields.csv,success
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBGS,1000,200,2,,success
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBGS,1000,200,3,,success
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBSOR,1000,200,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case10_N64_Re400_central_steps1000_p200_RBSOR_fields.csv,success
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBSOR,1000,200,2,,success
10,case10_N64_Re400_central_steps1000_p200,64,400,central,RBSOR,1000,200,3,,success
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBGS,2000,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case11_N64_Re1000_upwind_steps2000_p250_RBGS_fields.csv,success
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBGS,2000,250,2,,success
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBGS,2000,250,3,,success
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBSOR,2000,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case11_N64_Re1000_upwind_steps2000_p250_RBSOR_fields.csv,success
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBSOR,2000,250,2,,success
11,case11_N64_Re1000_upwind_steps2000_p250,64,1000,upwind,RBSOR,2000,250,3,,success
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBGS,2000,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case12_N64_Re1000_central_steps2000_p250_RBGS_fields.csv,success
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBGS,2000,250,2,,success
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBGS,2000,250,3,,success
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBSOR,2000,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case12_N64_Re1000_central_steps2000_p250_RBSOR_fields.csv,success
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBSOR,2000,250,2,,success
12,case12_N64_Re1000_central_steps2000_p250,64,1000,central,RBSOR,2000,250,3,,success
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBGS,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case13_N128_Re100_upwind_steps2500_p250_RBGS_fields.csv,success
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBGS,2500,250,2,,success
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBGS,2500,250,3,,success
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBSOR,2500,250,1,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case13_N128_Re100_upwind_steps2500_p250_RBSOR_fields.csv,success
13,case13_N128_Re100_upwind_steps2500_p250,128,100,upwind,RBSOR,2500,250,2,,success
