case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBGS,2000,250,1,1,1,3,206.5490899,209.3661041,206.8664613,1,206.8664613,1,1
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBSOR,2000,250,1,1,1,3,124.4872067,129.8180947,130.5362115,1,130.5362115,1,1
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBGS,2000,250,2,2,1,3,107.9474442,111.0736151,112.4055212,1,206.8664613,1.84036,0.920179
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBSOR,2000,250,2,2,1,3,68.3443563,69.11755649,68.92206359,1,130.5362115,1.89397,0.946984
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBGS,2000,250,4,4,1,3,63.88772511,65.47286169,65.65134096,1,206.8664613,3.15099,0.787747
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBSOR,2000,250,4,4,1,3,40.60628462,40.81821728,40.62577295,1,130.5362115,3.21314,0.803284
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBGS,2000,250,8,8,1,3,38.41137123,38.68340786,38.75036693,1,206.8664613,5.33844,0.667305
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBSOR,2000,250,8,8,1,3,24.03811932,24.25757726,24.24812412,1,130.5362115,5.38335,0.672919
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBGS,2000,250,16,16,1,3,25.7775166,26.04366843,25.97477889,1,206.8664613,7.96413,0.497758
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_looped,python,mpi_domain,looped,32,1000,upwind,RBSOR,2000,250,16,16,1,3,15.71042776,15.93159668,15.98721027,1,130.5362115,8.16504,0.510315
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBGS,2000,250,1,1,1,3,19.62148213,19.661467,19.65339375,1,19.65339375,1,1
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBSOR,2000,250,1,1,1,3,11.69250321,11.76853967,11.80211592,1,11.80211592,1,1
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBGS,2000,250,2,2,1,3,17.16811109,17.23021539,17.25045276,1,19.65339375,1.1393,0.569649
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBSOR,2000,250,2,2,1,3,10.28161287,10.31393464,10.32927155,1,11.80211592,1.14259,0.571295
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBGS,2000,250,4,4,1,3,15.88958001,15.92102583,15.9295342,1,19.65339375,1.23377,0.308443
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBSOR,2000,250,4,4,1,3,9.547785521,9.572527488,9.568998575,1,11.80211592,1.23337,0.308343
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBGS,2000,250,8,8,1,3,14.74401116,14.78977561,14.78389001,1,19.65339375,1.32938,0.166172
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBSOR,2000,250,8,8,1,3,8.836211443,8.893189112,8.911509752,1,11.80211592,1.32437,0.165546
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBGS,2000,250,16,16,1,3,14.61928987,14.66060583,14.67165875,1,19.65339375,1.33955,0.0837218
case1_N32_Re1000_upwind_steps2000_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,1000,upwind,RBSOR,2000,250,16,16,1,3,8.732845783,8.74708732,8.750581026,1,11.80211592,1.34872,0.0842952
