SourceFamily,CaseIndex,N_std,Re_std,Scheme_std,PressureSolver_std,Implementation_std,SuccessfulRepeats,RuntimeMean_s,RuntimeStd_s,RuntimeMin_s,RuntimeMedian_s,RuntimeMax_s
cuda_a100,1,32,100,upwind,RBGS,cuda_projection_rbgs,3,2.534241617836667,0.08702876820952804,2.4704152832,2.49893383789,2.6333757324200002
cuda_a100,1,32,100,upwind,RBSOR,cuda_projection_rbsor,3,2.5037399902333335,0.06164733163662507,2.45660668945,2.4811088867200004,2.5735043945299996
cuda_a100,2,32,100,central,RBGS,cuda_projection_rbgs,3,2.4895104980466662,0.041439252951174566,2.4472473144499998,2.49121069336,2.53007348633
cuda_a100,2,32,100,central,RBSOR,cuda_projection_rbsor,3,2.524818033853333,0.08045389646596982,2.4319641113299997,2.56870703125,2.57378295898
cuda_a100,3,32,400,upwind,RBGS,cuda_projection_rbgs,3,2.5451140950499997,0.026826402633308603,2.51649731445,2.54915283203,2.5696921386700002
cuda_a100,3,32,400,upwind,RBSOR,cuda_projection_rbsor,3,2.5026642252599998,0.04096425597464449,2.4637890625,2.4987648925799997,2.5454387207
cuda_a100,4,32,400,central,RBGS,cuda_projection_rbgs,3,2.5152064615899996,0.055299148367749504,2.47130102539,2.4970065918,2.57731176758
cuda_a100,4,32,400,central,RBSOR,cuda_projection_rbsor,3,2.534164469403333,0.09485554755686688,2.42530297852,2.57813305664,2.59905737305
cuda_a100,5,32,1000,upwind,RBGS,cuda_projection_rbgs,3,6.2051663411466675,0.0862787964684135,6.107414550780001,6.237384765630001,6.27069970703
cuda_a100,5,32,1000,upwind,RBSOR,cuda_projection_rbsor,3,6.303837239583333,0.14844322361029513,6.18924462891,6.25073974609,6.47152734375
cuda_a100,6,32,1000,central,RBGS,cuda_projection_rbgs,3,6.34923860677,0.1268004099619353,6.2192597656199995,6.35585449219,6.4726015625
cuda_a100,6,32,1000,central,RBSOR,cuda_projection_rbsor,3,6.331566731773333,0.17379211255003163,6.13345996094,6.4028896484399995,6.45835058594
cuda_a100,7,64,100,upwind,RBGS,cuda_projection_rbgs,3,2.5921901041666664,0.08100531357434446,2.52326293945,2.5718937988299997,2.68141357422
cuda_a100,7,64,100,upwind,RBSOR,cuda_projection_rbsor,3,2.5544069010433335,0.05319480948782923,2.50277685547,2.55140454102,2.60903930664
cuda_a100,8,64,100,central,RBGS,cuda_projection_rbgs,3,2.63210530599,0.08155270107209413,2.54689892578,2.6399846191400003,2.7094323730500003
cuda_a100,8,64,100,central,RBSOR,cuda_projection_rbsor,3,2.5426691080733335,0.058167087624977645,2.49726147461,2.5225124511700003,2.60823339844
cuda_a100,9,64,400,upwind,RBGS,cuda_projection_rbgs,3,2.581830403646667,0.11053866720701748,2.51295141602,2.5232077636700003,2.70933203125
cuda_a100,9,64,400,upwind,RBSOR,cuda_projection_rbsor,3,2.5844735514300003,0.09896706806418666,2.49163061523,2.57319213867,2.6885979003900005
cuda_a100,10,64,400,central,RBGS,cuda_projection_rbgs,3,2.6031455891933333,0.10941918111095889,2.49105004883,2.60871069336,2.7096760253900003
cuda_a100,10,64,400,central,RBSOR,cuda_projection_rbsor,3,2.5605897623666665,0.043957682261481924,2.5234309082,2.54922436523,2.60911401367
cuda_a100,11,64,1000,upwind,RBGS,cuda_projection_rbgs,3,6.30167252604,0.07058248746437606,6.23396777344,6.29623193359,6.374817871089999
cuda_a100,11,64,1000,upwind,RBSOR,cuda_projection_rbsor,3,6.4857574869766665,0.2084450129477367,6.3577578125,6.37323144531,6.7262832031199995
