SourceFamily,CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,FieldCSV,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,N_std,Re_std,Scheme_std,CaseIndex
cuda_a100,1,cuda_projection_rbgs,32,400,upwind,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.5696921386700002,200,,0,1,0,0.15820458015622774,0.2056631973238307,0.3347084440951886,0.3984031544518635,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case3_N32_Re400_upwind_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,400,upwind,3
cuda_a100,1,cuda_projection_rbgs,32,400,upwind,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.51649731445,200,,0,1,0,0.15820458015622774,0.2056631973238307,0.3347084440951886,0.3984031544518635,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case3_N32_Re400_upwind_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,400,upwind,3
cuda_a100,1,cuda_projection_rbsor,32,400,upwind,RBSOR,maxIter,gpu_benchmark,1000,1000,,,,,2.4637890625,200,,0,1,0,0.15952079222397825,0.20403714015318367,0.3359721531049544,0.396495636009962,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case3_N32_Re400_upwind_steps1000_p200_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,400,upwind,3
cuda_a100,1,cuda_projection_rbsor,32,400,upwind,RBSOR,maxIter,gpu_benchmark,1000,1000,,,,,2.4987648925799997,200,,0,1,0,0.15952079222397825,0.20403714015318367,0.3359721531049544,0.396495636009962,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case3_N32_Re400_upwind_steps1000_p200_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,400,upwind,3
cuda_a100,1,cuda_projection_rbsor,32,400,upwind,RBSOR,maxIter,gpu_benchmark,1000,1000,,,,,2.5454387207,200,,0,1,0,0.15952079222397825,0.20403714015318367,0.3359721531049544,0.396495636009962,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case3_N32_Re400_upwind_steps1000_p200_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,400,upwind,3
cuda_a100,1,cuda_projection_rbgs,32,400,central,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.4970065918,200,,0,1,0,0.1704057389306788,0.211031573871228,0.3476499810851465,0.40882161946487616,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,400,central,4
cuda_a100,1,cuda_projection_rbgs,32,400,central,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.47130102539,200,,0,1,0,0.1704057389306788,0.211031573871228,0.3476499810851465,0.40882161946487616,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,400,central,4
cuda_a100,1,cuda_projection_rbgs,32,400,central,RBGS,maxIter,gpu_benchmark,1000,1000,,,,,2.57731176758,200,,0,1,0,0.1704057389306788,0.211031573871228,0.3476499810851465,0.40882161946487616,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBGS_fields.csv,RBGS,unknown,cuda_projection_rbgs,unknown,32,400,central,4
cuda_a100,1,cuda_projection_rbsor,32,400,central,RBSOR,maxIter,gpu_benchmark,1000,1000,,,,,2.59905737305,200,,0,1,0,0.17959534463619045,0.20595057255140686,0.35315516413025905,0.4033030429386092,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,400,central,4
cuda_a100,1,cuda_projection_rbsor,32,400,central,RBSOR,maxIter,gpu_benchmark,1000,1000,,,,,2.57813305664,200,,0,1,0,0.17959534463619045,0.20595057255140686,0.35315516413025905,0.4033030429386092,0.09,0.12,saved_runs/cuda_cpu_exact_full_A100_21180878/fields/case4_N32_Re400_central_steps1000_p200_RBSOR_fields.csv,RBSOR,unknown,cuda_projection_rbsor,unknown,32,400,central,4
