SourceFamily,CaseFolder,timestamp_utc,host,solver_group,language,parallel_model,kernel_style,case_id,N,Re,scheme,pressure,steps,poisson_iters,mpi_ranks,threads_per_rank,total_cores,repeat,runtime_s,final_omega_change,final_psi_change,final_ru,final_rv,final_rc_mass,final_rc_div,max_velocity,source_summary,status,log_file,Runtime_s,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,N_std,Re_std,Scheme_std,CaseIndex
openmp,openmp_case_1,2026-07-02T13:56:58+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,1,1,1,1.1526071019,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.1526071019,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:00+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,2,2,1,1.4401852824,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.4401852824,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:03+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,4,4,1,1.8906721398,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.8906721398,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:07+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,8,8,1,3.3218565248000003,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,3.3218565248000003,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:15+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,16,16,1,6.4374073632,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,6.4374073632,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:17+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,1,1,1,0.9021064043000001,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.9021064043000001,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:20+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,2,2,1,1.6195951365,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.6195951365,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:23+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,4,4,1,1.8313343115,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.8313343115,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:27+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,8,8,1,3.277410645,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,3.277410645,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:34+00:00,node15.stromboli,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBGS,1000,200,1,16,16,1,6.3486069292,0.00020307700515,9.9499451862e-07,,,,,0.80915507345,cpp/openmp_domain_vectorized/results/data/cpp_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,6.3486069292,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:36+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,1,1,1,0.6756293848,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.6756293848,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:37+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,2,2,1,0.8545780033,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.8545780033,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:39+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,4,4,1,1.1622003726999999,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.1622003726999999,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:42+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,8,8,1,1.9101413526,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.9101413526,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:48+00:00,node15.stromboli,c_openmp_domain_looped,c,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,16,16,1,6.1271319687,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,c/openmp_domain_looped/results/data/c_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,6.1271319687,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:50+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,1,1,1,0.5173513964,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.5173513964,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:51+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,2,2,1,0.7694740929,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.7694740929,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:53+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,4,4,1,1.1714292578,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.1714292578,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:57:56+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,8,8,1,1.9980953783000002,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,1.9980953783000002,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:01+00:00,node15.stromboli,c_openmp_domain_vectorized,c,openmp_domain,vectorized,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,16,16,1,4.0669996962,0.00020320677766,9.7658309654e-07,,,,,0.80916698388,c/openmp_domain_vectorized/results/data/c_openmp_domain_vectorized_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,4.0669996962,unknown,c,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:03+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,1,1,1,0.6747143939,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.6747143939,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
openmp,openmp_case_1,2026-07-02T13:58:04+00:00,node15.stromboli,cpp_openmp_domain_looped,cpp,openmp_domain,looped,case1_N32_Re100_upwind_steps1000_p200,32,100,upwind,RBSOR,1000,200,1,2,2,1,0.9594577737000001,0.00020320677766,9.7658309657e-07,,,,,0.80916698388,cpp/openmp_domain_looped/results/data/cpp_openmp_domain_looped_summary.csv,success,logs/strong_scaling_parts/openmp_case_1/strong_scaling_20260702_155617.log,0.9594577737000001,unknown,cpp,unknown,openmp_domain,32,100,upwind,1
