SourceFamily,CaseIndex,N_std,Re_std,Scheme_std,PressureSolver_std,Language_std,Implementation_std,ParallelModel_std,SuccessfulRepeats,RuntimeMean_s,RuntimeStd_s,RuntimeMin_s,RuntimeMedian_s,RuntimeMax_s
openmp,3,32,400,upwind,unknown,cpp,unknown,openmp_domain,60,2.1243410308499993,1.700246894348137,0.4972805046,1.64320218935,6.9304623939
openmp,4,32,400,central,unknown,c,unknown,openmp_domain,60,2.3185497567016666,2.068000478037196,0.470267728,1.7007622438999999,8.5285894461
openmp,4,32,400,central,unknown,cpp,unknown,openmp_domain,60,2.1146705311399994,1.8521777835659965,0.4705480449,1.53669270315,9.2648120075
openmp,5,32,1000,upwind,unknown,c,unknown,openmp_domain,60,1.7684206410616665,1.4176265096360687,0.4132394008,1.3108379971,5.8363668621
openmp,5,32,1000,upwind,unknown,cpp,unknown,openmp_domain,60,1.664698759901667,1.3488510997292955,0.412851043,1.262050597,6.7052823975999996
openmp,6,32,1000,central,unknown,c,unknown,openmp_domain,60,1.4660121507949997,1.1978519722819418,0.3396176249,1.02560333535,4.8705945835
openmp,6,32,1000,central,unknown,cpp,unknown,openmp_domain,60,1.4096132755883335,1.1746008713130567,0.3384106718,0.98268651405,5.3157023713
openmp,7,64,100,upwind,unknown,c,unknown,openmp_domain,60,4.724503836779999,2.396433647744608,2.3240474238999997,3.7951121889499997,12.7346144207
openmp,7,64,100,upwind,unknown,cpp,unknown,openmp_domain,60,4.463584744060001,2.0102086422931915,2.3093104064,3.8292760178500003,10.805482845799999
openmp,8,64,100,central,unknown,c,unknown,openmp_domain,60,4.915727625535,2.515137793250025,2.3756478652,3.89732502775,12.0555980317
openmp,8,64,100,central,unknown,cpp,unknown,openmp_domain,60,4.691397943346669,2.245695173940619,2.40901592,3.85614711045,11.2450249121
openmp,9,64,400,upwind,unknown,c,unknown,openmp_domain,60,5.109142486816667,2.6229150958641427,2.4705592655,4.130083959549999,12.7971712388
openmp,9,64,400,upwind,unknown,cpp,unknown,openmp_domain,60,4.803164100641666,2.2012198422852824,2.4752713478999997,3.9918362908000002,10.4523764923
openmp,10,64,400,central,unknown,c,unknown,openmp_domain,60,5.324253933685,2.739619359365415,2.5292831436000003,4.4896700494,14.29017663
openmp,10,64,400,central,unknown,cpp,unknown,openmp_domain,60,4.981916221166667,2.301741499219413,2.5744853094,4.24805150185,11.1900257505
openmp,11,64,1000,upwind,unknown,c,unknown,openmp_domain,60,4.141863689013334,2.344934148191516,1.9283854775,3.3079865724,14.2210824527
