case,best_runtime_s
1,2.45660668945
2,2.4319641113299997
3,2.4637890625
4,2.42530297852
5,6.107414550780001
6,6.13345996094
7,2.50277685547
8,2.49726147461
9,2.49163061523
10,2.49105004883
11,6.23396777344
12,6.247298828130001
13,7.99520996094
14,8.14569580078
15,7.99523339844
16,8.02991796875
17,15.6498408203
18,15.555741210899999
