family,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
openmp,case1_N128_Re400_central_steps2500_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,2,1,2,3,9.472462092,9.636451125,9.506807297,1,15.68804106,1.65019,0.825095
openmp,case1_N128_Re400_central_steps2500_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,4,1,4,3,6.611727789,6.667517501,6.687667772,1,15.68804106,2.34582,0.586454
openmp,case1_N128_Re400_central_steps2500_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,8,1,8,3,7.045064732,7.169022462,7.134174831,1,15.68804106,2.199,0.274875
openmp,case1_N128_Re400_central_steps2500_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,16,1,16,3,11.74057716,12.64923641,11.84600395,1,15.68804106,1.32433,0.0827707
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,400,central,RBSOR,2500,250,1,1,1,3,21.28787645,21.31794266,21.3300812,1,21.3300812,1.0,1.0
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,400,central,RBSOR,2500,250,2,1,2,3,12.17235388,12.3102349,12.21996215,1,21.3300812,1.74551,0.872756
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,400,central,RBSOR,2500,250,4,1,4,3,8.002142098,8.064829799,8.062719036,1,21.3300812,2.64552,0.66138
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,400,central,RBSOR,2500,250,8,1,8,3,7.66399711,7.70348625,7.694795925,1,21.3300812,2.77201,0.346502
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,400,central,RBSOR,2500,250,16,1,16,3,11.57934506,11.63487693,11.58065588,1,21.3300812,1.84187,0.115117
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,1,1,1,3,15.54905484,15.57148153,15.55830516,1,15.55830516,1.0,1.0
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,2,1,2,3,9.458489128,9.567340812,9.465308633,1,15.55830516,1.64372,0.821859
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,4,1,4,3,6.592060298,6.65042553,6.626934297,1,15.55830516,2.34774,0.586934
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,8,1,8,3,7.003260657,7.15066348,7.099902485,1,15.55830516,2.19134,0.273918
openmp,case1_N128_Re400_central_steps2500_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,400,central,RBSOR,2500,250,16,1,16,3,11.19560991,13.78588471,12.94315109,1,15.55830516,1.20205,0.0751281
