case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s
case1_N128_Re400_upwind_steps2500_p250,python_mpi_domain_looped,python,mpi_domain,looped,128,400,upwind,RBGS,2500,250,16,16,1,3,684.4847097,687.5914946,688.6817594,1,9727.23138,14.1244,0.882776,16,688.6817594
case1_N128_Re400_upwind_steps2500_p250,python_mpi_domain_looped,python,mpi_domain,looped,128,400,upwind,RBSOR,2500,250,16,16,1,3,540.1789775,542.7605826,541.1987312,1,7312.434615,13.5116,0.844472,16,541.1987312
case1_N128_Re400_upwind_steps2500_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,128,400,upwind,RBGS,2500,250,16,16,1,3,65.92139745,66.17582695,66.13044262,1,411.3018725,6.21955,0.388722,16,66.13044262
case1_N128_Re400_upwind_steps2500_p250,python_mpi_domain_vectorized,python,mpi_domain,vectorized,128,400,upwind,RBSOR,2500,250,16,16,1,3,51.5981617,51.69835337,51.69292164,1,313.7202625,6.06892,0.379308,16,51.69292164
