case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBGS,1000,200,1,1,1,3,165.7031684,167.0423423,166.654922,1,166.654922,1,1
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBSOR,1000,200,1,1,1,3,87.03305435,88.5597105,88.42572165,1,88.42572165,1,1
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBGS,1000,200,2,1,2,3,160.285718,167.1385618,168.7697654,1,166.654922,0.987469,0.493735
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBSOR,1000,200,2,1,2,3,86.40997982,89.06971097,88.64749789,1,88.42572165,0.997498,0.498749
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBGS,1000,200,4,2,2,3,87.25692129,89.0687383,88.2642858,1,166.654922,1.88814,0.472034
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBSOR,1000,200,4,2,2,3,46.38005137,46.88816158,46.8160708,1,88.42572165,1.88879,0.472197
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBGS,1000,200,8,4,2,3,49.79411459,51.00686399,51.58326745,1,166.654922,3.23079,0.403849
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBSOR,1000,200,8,4,2,3,26.52169156,27.44788965,27.89127636,1,88.42572165,3.17037,0.396297
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBGS,1000,200,16,4,4,3,49.42349982,50.43758424,50.83099985,1,166.654922,3.27861,0.204913
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,32,400,central,RBSOR,1000,200,16,4,4,3,26.41017532,26.98441275,27.26950121,1,88.42572165,3.24266,0.202666
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBGS,1000,200,1,1,1,3,15.66086793,15.82428114,15.82700181,1,15.82700181,1,1
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBSOR,1000,200,1,1,1,3,7.985758781,8.048671881,7.996268749,1,7.996268749,1,1
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBGS,1000,200,2,1,2,3,15.70887351,15.76111762,15.78212452,1,15.82700181,1.00284,0.501422
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBSOR,1000,200,2,1,2,3,8.059049606,8.088626067,8.085789442,1,7.996268749,0.988929,0.494464
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBGS,1000,200,4,2,2,3,13.72889829,13.77678402,13.79957628,1,15.82700181,1.14692,0.28673
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBSOR,1000,200,4,2,2,3,7.092782021,7.130800009,7.135397434,1,7.996268749,1.12065,0.280162
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBGS,1000,200,8,4,2,3,12.68187523,12.76953109,12.80396199,1,15.82700181,1.2361,0.154513
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBSOR,1000,200,8,4,2,3,6.523375273,6.552696546,6.543795586,1,7.996268749,1.22196,0.152745
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBGS,1000,200,16,4,4,3,12.67308998,12.7046562,12.71345472,1,15.82700181,1.2449,0.0778064
case1_N32_Re400_central_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,32,400,central,RBSOR,1000,200,16,4,4,3,6.563220501,6.577756564,6.577846527,1,7.996268749,1.21564,0.0759773
