language,case_id,N,Re,scheme,mpi_ranks,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
python,case1_N128_Re100_upwind_steps2500_p250,128,100,upwind,1,9,20795.841759946597,18587.37954863281,1312.7950453758,40910.2954394817
python,case1_N128_Re100_upwind_steps2500_p250,128,100,upwind,2,8,9935.194188356374,9929.351634679573,725.3953747749,21949.2041966915
python,case1_N128_Re100_upwind_steps2500_p250,128,100,upwind,4,8,5061.893687069425,5008.97296782747,429.67909336089997,11479.8878407478
python,case1_N128_Re100_upwind_steps2500_p250,128,100,upwind,8,8,2698.5984506905,2614.913306114977,279.481038332,6092.9217624664
python,case1_N128_Re100_upwind_steps2500_p250,128,100,upwind,16,8,1417.3806605041127,1281.9300027275046,210.91074252130002,3009.1954729557
