i,j,x,y,u,v,p,speed,vorticity
0,95,0.748031496063,0,0,0,0.0239761253907,0,0
0,96,0.755905511811,0,0,0,0.024821891794,0,0
0,97,0.763779527559,0,0,0,0.0238020047281,0,0
0,98,0.771653543307,0,0,0,0.0246032817928,0,0
0,99,0.779527559055,0,0,0,0.0236333127345,0,0
0,100,0.787401574803,0,0,0,0.02438965099,0,0
0,101,0.795275590551,0,0,0,0.0234742775677,0,0
0,102,0.803149606299,0,0,0,0.0241850398333,0,0
0,103,0.811023622047,0,0,0,0.0233284321783,0,0
0,104,0.818897637795,0,0,0,0.0239927592907,0,0
0,105,0.826771653543,0,0,0,0.0231985464386,0,0
0,106,0.834645669291,0,0,0,0.0238153604256,0,0
0,107,0.842519685039,0,0,0,0.0230866366099,0,0
0,108,0.850393700787,0,0,0,0.0236546773117,0,0
0,109,0.858267716535,0,0,0,0.0229940430072,0,0
0,110,0.866141732283,0,0,0,0.0235119302769,0,0
0,111,0.874015748031,0,0,0,0.022921559371,0,0
0,112,0.88188976378,0,0,0,0.0233878687414,0,0
0,113,0.889763779528,0,0,0,0.0228695891756,0,0
0,114,0.897637795276,0,0,0,0.0232829228315,0,0
0,115,0.905511811024,0,0,0,0.0228382918032,0,0
0,116,0.913385826772,0,0,0,0.0231973160419,0,0
0,117,0.92125984252,0,0,0,0.022827659182,0,0
0,118,0.929133858268,0,0,0,0.0231310586654,0,0
0,119,0.937007874016,0,0,0,0.0228374189775,0,0
0,120,0.944881889764,0,0,0,0.0230836755193,0,0
0,121,0.952755905512,0,0,0,0.0228665704971,0,0
0,122,0.96062992126,0,0,0,0.0230533927459,0,0
0,123,0.968503937008,0,0,0,0.0229122047022,0,0
0,124,0.976377952756,0,0,0,0.0230353434918,0,0
0,125,0.984251968504,0,0,0,0.0229672373255,0,0
0,126,0.992125984252,0,0,0,0.0230188344692,0,0
0,127,1,0,0,0,0.0230188344692,0,0
1,0,0,0.00787401574803,0,0,0.0249910355738,0,0
1,1,0.00787401574803,0.00787401574803,-3.07528762124e-05,-2.66315904209e-05,0.0249910355738,4.06814577379e-05,0.000392257894939
1,2,0.0157480314961,0.00787401574803,2.86970386118e-05,-3.15944672712e-05,0.0250199891501,4.26817336484e-05,-0.0020306426118
1,3,0.0236220472441,0.00787401574803,4.22636062354e-07,-2.96771233207e-05,0.0249614959639,2.96801325777e-05,0.00130419781098
1,4,0.0314960629921,0.00787401574803,5.04188779209e-05,-2.31422918917e-05,0.0250365099709,5.54763816844e-05,-0.00132174228552
1,5,0.0393700787402,0.00787401574803,2.31649129203e-06,-1.5907669743e-05,0.0249195889375,1.60754498711e-05,0.00348298100976
1,6,0.0472440944882,0.00787401574803,3.00864633543e-05,-8.09152635086e-06,0.025044248911,3.11555464702e-05,0.00293506063322
1,7,0.0551181102362,0.00787401574803,-4.23445188137e-05,-9.51539886299e-07,0.0248705518391,4.23552086728e-05,0.0102023167421
1,8,0.0629921259843,0.00787401574803,-3.73908303361e-05,5.55796151212e-06,0.0250476047707,3.78016551145e-05,0.0121076048833
1,9,0.0708661417323,0.00787401574803,-0.000131443311556,1.12599756915e-05,0.0248184742683,0.000131924717947,0.0217682029296
