solver_group,CaseID,Implementation,N,Re,Scheme,PressureSolver,Runtime_s,Iterations,AvgPoissonRelResidual,Quality,source_file
c_serial,3,serial_c,32,100,central,RBGS,61.144827,5500,9.16411087027e-05,validated_but_not_converged,comparison/results/split/c_serial_case_003.csv
c_serial,4,serial_c,32,100,central,RBSOR,12.399098,5500,5.9230057436e-05,validated_but_not_converged,comparison/results/split/c_serial_case_004.csv
c_serial,5,serial_c,32,400,upwind,RBGS,48.484138,4000,9.29384779982e-05,needs_improvement,comparison/results/split/c_serial_case_005.csv
c_serial,6,serial_c,32,400,upwind,RBSOR,9.201377,4000,6.45593192336e-05,needs_improvement,comparison/results/split/c_serial_case_006.csv
c_serial,7,serial_c,32,400,central,RBGS,61.6069,5500,9.31774606428e-05,needs_improvement,comparison/results/split/c_serial_case_007.csv
c_serial,8,serial_c,32,400,central,RBSOR,12.497032,5500,6.52177025164e-05,needs_improvement,comparison/results/split/c_serial_case_008.csv
c_serial,9,serial_c,32,1000,upwind,RBGS,48.884924,7000,8.72827263944e-05,needs_improvement,comparison/results/split/c_serial_case_009.csv
c_serial,10,serial_c,32,1000,upwind,RBSOR,12.422188,7000,5.4328132219e-05,needs_improvement,comparison/results/split/c_serial_case_010.csv
c_serial,11,serial_c,32,1000,central,RBGS,49.606493,8500,8.78148556892e-05,needs_improvement,comparison/results/split/c_serial_case_011.csv
c_serial,12,serial_c,32,1000,central,RBSOR,13.478278,8500,4.80505600103e-05,needs_improvement,comparison/results/split/c_serial_case_012.csv
c_serial,13,serial_c,64,100,upwind,RBGS,803.215139,4000,9.80531322402e-05,validated_but_not_converged,comparison/results/split/c_serial_case_013.csv
c_serial,14,serial_c,64,100,upwind,RBSOR,101.140747,4000,8.02159832272e-05,validated_but_not_converged,comparison/results/split/c_serial_case_014.csv
c_serial,15,serial_c,64,100,central,RBGS,981.436684,5500,9.78963559449e-05,validated_but_not_converged,comparison/results/split/c_serial_case_015.csv
c_serial,16,serial_c,64,100,central,RBSOR,125.118785,5500,7.87017974524e-05,validated_but_not_converged,comparison/results/split/c_serial_case_016.csv
c_serial,17,serial_c,64,400,upwind,RBGS,929.216945,4000,9.82123100574e-05,needs_improvement,comparison/results/split/c_serial_case_017.csv
c_serial,18,serial_c,64,400,upwind,RBSOR,100.924856,4000,7.94659329116e-05,needs_improvement,comparison/results/split/c_serial_case_018.csv
c_serial,19,serial_c,64,400,central,RBGS,1219.787651,5500,9.83589004006e-05,validated_but_not_converged,comparison/results/split/c_serial_case_019.csv
c_serial,20,serial_c,64,400,central,RBSOR,131.176985,5500,7.80452949486e-05,validated_but_not_converged,comparison/results/split/c_serial_case_020.csv
c_serial,21,serial_c,64,1000,upwind,RBGS,1110.705685,7000,9.77776596704e-05,needs_improvement,comparison/results/split/c_serial_case_021.csv
c_serial,22,serial_c,64,1000,upwind,RBSOR,134.695869,7000,7.77800383046e-05,needs_improvement,comparison/results/split/c_serial_case_022.csv
c_serial,23,serial_c,64,1000,central,RBGS,1401.937864,8500,9.80088314945e-05,needs_improvement,comparison/results/split/c_serial_case_023.csv
