SourceFamily,CaseFolder,CaseIndex,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,400,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.49906503409999997,0.5006586822,0.49906596909999995,1.0,0.49906596909999995,1.0,1.0,1.0,0.49906596909999995,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,400,upwind,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.086817626,1.0975223459999999,1.088866394,1.0,1.088866394,1.0,1.0,1.0,1.088866394,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,400,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.6500772871,0.6546456727000001,0.6537090465,1.0,0.6537090465,1.0,1.0,1.0,0.6537090465,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,400,upwind,RBGS,1000.0,200.0,1.0,1,1.0,3.0,0.8597560786,0.8606517228,0.860608615,1.0,0.860608615,1.0,1.0,1.0,0.860608615,,,,,
openmp,openmp_case_3,3,case1_N32_Re400_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,400,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.4972805046,0.4983322173,0.49777191130000004,1.0,0.49777191130000004,1.0,1.0,1.0,0.49777191130000004,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.059764329,1.0645488220000001,1.065052651,1.0,1.065052651,1.0,1.0,1.0,1.065052651,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,400,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.6216503344,0.6238737292000001,0.6234331354,1.0,0.6234331354,1.0,1.0,1.0,0.6234331354,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,400,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,0.832354933,0.8383107359,0.8394696824,1.0,0.8394696824,1.0,1.0,1.0,0.8394696824,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,400,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.470267728,0.4734344656,0.4732439965,1.0,0.4732439965,1.0,1.0,1.0,0.4732439965,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,400,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.0601689440000002,1.0620423829999999,1.062371865,1.0,1.062371865,1.0,1.0,1.0,1.062371865,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,400,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.6206803806,0.6209946163000001,0.6207040361999999,1.0,0.6207040361999999,1.0,1.0,1.0,0.6207040361999999,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,400,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,0.8341174981999999,0.8352027411,0.8352101594,1.0,0.8352101594,1.0,1.0,1.0,0.8352101594,,,,,
openmp,openmp_case_4,4,case1_N32_Re400_central_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,400,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.4705480449,0.4712189349,0.4714748152,1.0,0.4714748152,1.0,1.0,1.0,0.4714748152,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,32,1000,upwind,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.8449923769,0.8478183945000001,0.8461786211,1.0,0.8461786211,1.0,1.0,1.0,0.8461786211,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,32,1000,upwind,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.5493187307999999,0.5534108715,0.5497928075,1.0,0.5497928075,1.0,1.0,1.0,0.5497928075,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,1000,upwind,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.6602129004999999,0.6637471095,0.6605198718999999,1.0,0.6605198718999999,1.0,1.0,1.0,0.6605198718999999,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,1000,upwind,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.4132394008,0.41429949299999996,0.41445448619999997,1.0,0.41445448619999997,1.0,1.0,1.0,0.41445448619999997,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,1000,upwind,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.8480188920999999,0.8510976223000001,0.8506225608,1.0,0.8506225608,1.0,1.0,1.0,0.8506225608,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,1000,upwind,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.5499695651,0.5524041628,0.552117575,1.0,0.552117575,1.0,1.0,1.0,0.552117575,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,1000,upwind,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.6584198102000001,0.6622198683,0.6607771255,1.0,0.6607771255,1.0,1.0,1.0,0.6607771255,,,,,
openmp,openmp_case_5,5,case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,1000,upwind,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.412851043,0.41500072179999997,0.41597163299999995,1.0,0.41597163299999995,1.0,1.0,1.0,0.41597163299999995,,,,,
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,32,1000,central,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.6786731817,0.6795430145999999,0.6796261854000001,1.0,0.6796261854000001,1.0,1.0,1.0,0.6796261854000001,,,,,
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,32,1000,central,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.465864189,0.4664695946,0.4659053199,1.0,0.4659053199,1.0,1.0,1.0,0.4659053199,,,,,
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,1000,central,RBGS,2000.0,250.0,1.0,1,1.0,3.0,0.5180573463,0.5195419340999999,0.5181814656,1.0,0.5181814656,1.0,1.0,1.0,0.5181814656,,,,,
openmp,openmp_case_6,6,case1_N32_Re1000_central_steps2000_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,1000,central,RBSOR,2000.0,250.0,1.0,1,1.0,3.0,0.3396176249,0.34094491479999994,0.3409692086,1.0,0.3409692086,1.0,1.0,1.0,0.3409692086,,,,,
