SourceFamily,CaseFolder,CaseIndex,case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,successful_repeats,Runtime_s_mean,Runtime_s_std,Runtime_s_min,Runtime_s_max
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.140458535,1.145395639,1.14312128,1.0,1.14312128,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.6739010401000001,0.6769549039,0.6747143939,1.0,0.6747143939,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.434790403,1.516117875,1.4401852819999998,1.0,1.14312128,0.793732,0.396866,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.8107591979000001,0.864543053,0.8234121874,1.0,0.6747143939,0.819413,0.409706,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,1.873169139,1.880525908,1.877736446,1.0,1.14312128,0.608776,0.152194,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,0.9848821051000001,1.024677025,1.033705831,1.0,0.6747143939,0.652714,0.163179,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.272923835,3.294435893,3.288527321,1.0,1.14312128,0.347609,0.0434511,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.784283593,1.79001256,1.7905737869999998,1.0,0.6747143939,0.376815,0.047101800000000006,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBGS,1000.0,200.0,16.0,1,16.0,3.0,6.437407362999999,7.388708461,6.669408441,1.0,1.14312128,0.171398,0.010712399999999999,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,upwind,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,3.466290425,3.5150355710000003,3.528189972,1.0,0.6747143939,0.191235,0.011952200000000001,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,1.0,1,1.0,3.0,0.9018642493000001,0.9031281012000001,0.9021064043000001,1.0,0.9021064043000001,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.5182533078,0.5193866839,0.5189073347,1.0,0.5189073347,1.0,1.0,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.373942275,1.4571712030000001,1.377976198,1.0,0.9021064043000001,0.65466,0.32733,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.7744947337,0.8190256456999999,0.7843091823,1.0,0.5189073347,0.661611,0.330805,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,4.0,1,4.0,3.0,1.8313343119999999,1.839283445,1.842404168,1.0,0.9021064043000001,0.48963500000000004,0.12240899999999999,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.008120209,1.0147165870000001,1.016011458,1.0,0.5189073347,0.51073,0.127682,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.1495531760000004,3.233652249,3.273992926,1.0,0.9021064043000001,0.275537,0.034442099999999996,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.714439221,1.7556539690000001,1.7717458080000001,1.0,0.5189073347,0.292879,0.0366099,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBGS,1000.0,200.0,16.0,1,16.0,3.0,6.311367195,6.649504127999999,6.348606929,1.0,0.9021064043000001,0.142095,0.00888095,,,,,
openmp,openmp_case_1,1,case1_N32_Re100_upwind_steps1000_p200,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,100,upwind,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,3.487076834,4.645284196,3.719547935,1.0,0.5189073347,0.139508,0.00871926,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.13337807,1.144092898,1.1408992709999999,1.0,1.1408992709999999,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.6691173762,0.674124226,0.673324503,1.0,0.673324503,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.480640367,1.581334258,1.510417744,1.0,1.1408992709999999,0.7553529999999999,0.377677,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.8608477004,0.86374014,0.8650187254,1.0,0.673324503,0.778393,0.389196,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,2.09853166,2.122081871,2.128146295,1.0,1.1408992709999999,0.5361,0.134025,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.1658656859999998,1.1707511999999998,1.173190273,1.0,0.673324503,0.573926,0.143482,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.485723324,3.507173803,3.496480763,1.0,1.1408992709999999,0.326299,0.0407874,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.907129932,1.950651851,1.919217411,1.0,0.673324503,0.350833,0.0438541,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,16.0,1,16.0,3.0,7.354806422999999,7.585960377,7.377594356,1.0,1.1408992709999999,0.154644,0.00966524,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_looped,c,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,3.9937388410000003,4.762309093,4.472543821,1.0,0.673324503,0.150546,0.00940914,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,0.8942263051999999,0.8966770829999999,0.8977954498999999,1.0,0.8977954498999999,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.5046789161999999,0.5050548663000001,0.5050293431,1.0,0.5050293431,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.365075845,1.4028386,1.416866351,1.0,0.8977954498999999,0.633649,0.316824,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.7808597423,0.8181319646999999,0.7917077169,1.0,0.5050293431,0.637899,0.318949,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,2.0551769319999997,2.08063689,2.083915204,1.0,0.8977954498999999,0.430821,0.107705,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,4.0,1,4.0,3.0,1.133083198,1.143650501,1.1426681840000001,1.0,0.5050293431,0.441974,0.11049300000000001,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,8.0,1,8.0,3.0,3.4775251480000002,3.545739673,3.533499949,1.0,0.8977954498999999,0.254081,0.0317601,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,8.0,1,8.0,3.0,1.92355432,1.9461122030000002,1.927935291,1.0,0.5050293431,0.26195300000000005,0.0327442,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBGS,1000.0,200.0,16.0,1,16.0,3.0,7.137688935,7.166252752999999,7.157637618,1.0,0.8977954498999999,0.125432,0.00783949,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,100,central,RBSOR,1000.0,200.0,16.0,1,16.0,3.0,4.0635349419999995,4.6480769539999995,4.907511707,1.0,0.5050293431,0.10290899999999999,0.00643184,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,1.0,1,1.0,3.0,1.12939493,1.131130343,1.1307642390000001,1.0,1.1307642390000001,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,1.0,1,1.0,3.0,0.66520679,0.6660298382000001,0.6657766998,1.0,0.6657766998,1.0,1.0,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,2.0,1,2.0,3.0,1.44541743,1.531538997,1.4597947080000002,1.0,1.1307642390000001,0.774605,0.387302,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBSOR,1000.0,200.0,2.0,1,2.0,3.0,0.9438677168999999,0.9515427028,0.9507405534000001,1.0,0.6657766998,0.700272,0.350136,,,,,
openmp,openmp_case_2,2,case1_N32_Re100_central_steps1000_p200,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,100,central,RBGS,1000.0,200.0,4.0,1,4.0,3.0,1.8654734830000002,1.877286685,1.8820857180000001,1.0,1.1307642390000001,0.600804,0.150201,,,,,
