case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s
case1_N64_Re1000_upwind_steps2000_p250,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,1000,upwind,RBGS,2000,250,8,4,2,3,391.5298536,398.6489403,397.5273588,1,1424.873083,3.58434,0.448042,8,397.5273588
case1_N64_Re1000_upwind_steps2000_p250,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,1000,upwind,RBSOR,2000,250,8,4,2,3,250.1609704,255.6454322,255.1335468,1,914.9647124,3.58622,0.448277,8,255.1335468
case1_N64_Re1000_upwind_steps2000_p250,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,1000,upwind,RBGS,2000,250,8,4,2,3,37.72738338,37.90228224,37.82090616,1,73.96053815,1.95555,0.244443,8,37.82090616
case1_N64_Re1000_upwind_steps2000_p250,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,1000,upwind,RBSOR,2000,250,16,4,4,3,24.17773938,24.23474924,24.23628497,1,47.04622245,1.94115,0.121322,16,24.23628497
