case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s
case1_N64_Re100_upwind_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,100,upwind,RBGS,1000,200,8,4,2,3,355.0866413,366.1030243,364.5838802,1,1265.121393,3.47004,0.433755,8,364.5838802
case1_N64_Re100_upwind_steps1000_p200,python_hybrid_mpi_threaded_looped,python,hybrid_mpi_threaded,looped,64,100,upwind,RBSOR,1000,200,8,4,2,3,228.7984877,231.0558622,229.1821685,1,812.8342707,3.54667,0.443334,8,229.1821685
case1_N64_Re100_upwind_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,100,upwind,RBGS,1000,200,16,4,4,3,35.94663644,36.19081791,36.28953719,1,70.59033322,1.9452,0.121575,16,36.28953719
case1_N64_Re100_upwind_steps1000_p200,python_hybrid_mpi_threaded_vectorized,python,hybrid_mpi_threaded,vectorized,64,100,upwind,RBSOR,1000,200,16,4,4,3,22.27299833,22.35827398,22.30086541,1,43.73154998,1.96098,0.122561,16,22.30086541
