CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,OriginalImplementation
1,mpi_cpp_case_parallel_cpp,32,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,6.03303253703e-06,5.8444802124e-06,6.52624118716e-07,0.000627171778086,62.658726074,352.88125,9.17261227739e-05,0.0,1,1,0.0142980957641,0.0105681418602,0.0317108009088,0.0269732983926,0.03,0.03,serial_cpp
2,mpi_cpp_case_parallel_cpp,32,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,1.2244684154e-05,7.99806434776e-06,3.38317456713e-06,0.00325123075901,61.256297091,195.242857143,8.72827263944e-05,0.0,1,0,0.180889102324,0.271763659646,0.362031745986,0.458341099743,0.16,0.18,serial_cpp
3,mpi_cpp_case_parallel_cpp,64,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,5.01951616463e-05,4.18930268359e-05,5.70438675517e-08,0.000226407110313,1153.26116233,1548.6875,9.82123100574e-05,0.02225,1,0,0.105668929268,0.135676099206,0.231682748203,0.222444260544,0.09,0.12,serial_cpp
4,mpi_cpp_case_parallel_cpp,128,100,upwind,RBGS,maxIter,validated_but_not_converged,7000,7000,4.34949702725e-06,4.2926620436e-06,3.84698709521e-08,0.000620480548587,12787.422327,2375.93928571,0.000140371533297,0.752,1,1,0.00653008199444,0.00403638994947,0.0153487348916,0.00701426612159,0.03,0.03,serial_cpp
5,mpi_cpp_case_parallel_cpp,128,1000,upwind,RBGS,maxIter,validated_but_not_converged,10000,10000,3.26203968117e-05,2.71537864225e-05,4.48093333795e-09,7.22729738078e-05,19185.8347501,2499.19,0.000305247594764,0.9992,1,1,0.12906368367,0.152239171474,0.273964461527,0.236003693035,0.16,0.18,serial_cpp
6,mpi_cpp_case_parallel_cpp,32,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,6.0327791252e-06,5.84336597637e-06,6.52574012921e-07,0.000627123626417,15.515620392,82.85625,5.75090163629e-05,0.0,1,1,0.0142981006225,0.010568138327,0.0317108044249,0.0269733067978,0.03,0.03,serial_cpp
7,mpi_cpp_case_parallel_cpp,32,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,1.22446950451e-05,7.99806964898e-06,3.38311382248e-06,0.00325117238341,19.367027842,57.6642857143,5.4328132219e-05,0.0,1,0,0.180889099695,0.271763663404,0.362031738423,0.458341105093,0.16,0.18,serial_cpp
8,mpi_cpp_case_parallel_cpp,64,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,5.01951678896e-05,4.18930269079e-05,5.70311425107e-08,0.000226356604625,158.846099488,204.80625,7.94659329116e-05,0.0,1,0,0.105668929138,0.135676090626,0.231682751762,0.222444253024,0.09,0.12,serial_cpp
9,mpi_cpp_case_parallel_cpp,128,100,upwind,RBSOR,maxIter,validated_but_not_converged,7000,7000,4.34949952947e-06,4.29266607579e-06,3.84504737728e-08,0.000620167691482,2810.4440401,506.332142857,9.31921712343e-05,0.0,1,1,0.00653004458302,0.00403637046787,0.0153486673559,0.00701423925093,0.03,0.03,serial_cpp
10,mpi_cpp_case_parallel_cpp,128,1000,upwind,RBSOR,maxIter,validated_but_not_converged,10000,10000,3.26203865439e-05,2.71537916502e-05,4.48305724418e-09,7.23072302914e-05,4109.55181412,519.9575,9.36613220349e-05,0.0,1,1,0.129063590997,0.152239027345,0.273964205043,0.236003527188,0.16,0.18,serial_cpp
11,mpi_cpp_case_parallel_cpp,32,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.13407292155e-06,3.08299196716e-06,9.46488708721e-07,0.000909575649081,76.763488203,314.390909091,9.16411087027e-05,0.0,1,1,0.00728213635357,0.0052874229273,0.0158129349737,0.00795221059865,0.03,0.03,serial_cpp
12,mpi_cpp_case_parallel_cpp,32,1000,central,RBGS,maxIter,needs_improvement,8500,8500,4.70221744005e-06,2.74061152106e-06,1.76270924034e-05,0.0169396357997,62.043059441,162.588235294,8.78148556892e-05,0.0,1,0,0.209119208852,0.305136194628,0.375117645632,0.509717486236,0.16,0.18,serial_cpp
13,mpi_cpp_case_parallel_cpp,64,400,central,RBGS,maxIter,validated_but_not_converged,5500,5500,4.99116026227e-05,4.014505453e-05,1.27703961548e-07,0.000506857023382,1514.8078963,1477.45909091,9.83589004006e-05,0.0465454545455,1,1,0.0839890970769,0.0994164316698,0.167387771694,0.153040769688,0.09,0.12,serial_cpp
