case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s
case1_N128_Re400_upwind_steps2500_p250,c_openmp_domain_looped,c,openmp_domain,looped,128,400,upwind,RBGS,2500,250,4,1,4,3,9.602424141,9.64781257,9.615622647,1,26.43649763,2.74933,0.687332,4,9.615622647
case1_N128_Re400_upwind_steps2500_p250,c_openmp_domain_looped,c,openmp_domain,looped,128,400,upwind,RBSOR,2500,250,8,1,8,3,7.046416964,7.099099778,7.104181748,1,20.70078785,2.91389,0.364236,8,7.104181748
case1_N128_Re400_upwind_steps2500_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,400,upwind,RBGS,2500,250,4,1,4,3,8.061995108,8.174122566,8.136725701,1,19.89769473,2.44542,0.611354,4,8.136725701
case1_N128_Re400_upwind_steps2500_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,128,400,upwind,RBSOR,2500,250,4,1,4,3,6.282575209,6.440964298,6.512649562,1,15.41902918,2.36755,0.591888,4,6.512649562
case1_N128_Re400_upwind_steps2500_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,400,upwind,RBGS,2500,250,4,1,4,3,9.873710524,9.954049175,9.920844894,1,26.58341128,2.67955,0.669888,4,9.920844894
case1_N128_Re400_upwind_steps2500_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,128,400,upwind,RBSOR,2500,250,8,1,8,3,7.353674833,7.555183474,7.595322285,1,20.88032452,2.7491,0.343638,8,7.595322285
case1_N128_Re400_upwind_steps2500_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,400,upwind,RBGS,2500,250,4,1,4,3,8.12566106,8.252797103,8.200185984,1,19.74916463,2.40838,0.602095,4,8.200185984
case1_N128_Re400_upwind_steps2500_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,128,400,upwind,RBSOR,2500,250,4,1,4,3,6.243205305,6.280742844,6.280290727,1,15.30320415,2.4367,0.609176,4,6.280290727
