CaseID,Implementation,N,Re,Scheme,PressureSolver,Status,Quality,Iterations,LocalMaxIter,FinalRu,FinalRv,FinalRcMass,FinalRcDiv,Runtime_s,AvgPoissonIterations,AvgPoissonRelResidual,PressureSaturationRatio,HasGhia,ValidationPass,Ghia_u_L2,Ghia_v_L2,Ghia_u_Linf,Ghia_v_Linf,Ghia_u_L2_Limit,Ghia_v_L2_Limit,solver_group,source_type,source_file,OriginalImplementation,case_id_std,N_std,Re_std,runtime_std,validation_error_std,residual_std,iterations_std,scheme_std,pressure_std,implementation_std,quality_std
13,openmp_c,64,100,upwind,RBGS,maxIter,validated_but_not_converged,4000,4000,7.97884815705e-06,7.74838251225e-06,9.23492537298e-08,0.000366534188054,383.688217666,1337.66875,9.80531322402e-05,0.00025,1,1,0.00971705431673,0.00638564845758,0.0229430758548,0.0136188180193,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_013.csv,,13,64,100,383.688217666,,9.80531322402e-05,4000,upwind,RBGS,openmp_c,validated_but_not_converged
14,openmp_c,64,100,upwind,RBSOR,maxIter,validated_but_not_converged,4000,4000,7.97885608712e-06,7.7484024737e-06,9.23370414478e-08,0.000366485717506,53.9249262735,204.85,8.02159832272e-05,0.0,1,1,0.00971705662414,0.00638564348729,0.02294308232,0.013618817512,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_014.csv,,14,64,100,53.9249262735,,8.02159832272e-05,4000,upwind,RBSOR,openmp_c,validated_but_not_converged
15,openmp_c,64,100,central,RBGS,maxIter,validated_but_not_converged,5500,5500,3.37818468638e-06,3.42478483342e-06,6.17756035061e-08,0.000245187370316,461.124406783,1187.48636364,9.78963559449e-05,0.000181818181818,1,1,0.00344459068849,0.00508954025814,0.00717015930186,0.0103264057267,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_015.csv,,15,64,100,461.124406783,,9.78963559449e-05,5500,central,RBGS,openmp_c,validated_but_not_converged
16,openmp_c,64,100,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,3.37805781526e-06,3.42443224233e-06,6.17616373358e-08,0.000245131938586,66.8845142964,183.877272727,7.87017974524e-05,0.0,1,1,0.00344459664611,0.00508953678527,0.00717018006476,0.0103263979681,0.03,0.03,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_016.csv,,16,64,100,66.8845142964,,7.87017974524e-05,5500,central,RBSOR,openmp_c,validated_but_not_converged
17,openmp_c,64,400,upwind,RBGS,maxIter,needs_improvement,4000,4000,5.01951616462e-05,4.18930268359e-05,5.70438675519e-08,0.000226407110313,437.767449716,1548.6875,9.82123100574e-05,0.02225,1,0,0.105668929268,0.135676099206,0.231682748203,0.222444260544,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_017.csv,,17,64,400,437.767449716,,9.82123100574e-05,4000,upwind,RBGS,openmp_c,needs_improvement
18,openmp_c,64,400,upwind,RBSOR,maxIter,needs_improvement,4000,4000,5.01951678896e-05,4.1893026908e-05,5.70311425106e-08,0.000226356604625,53.6367906649,204.80625,7.94659329116e-05,0.0,1,0,0.105668929138,0.135676090626,0.231682751762,0.222444253024,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_018.csv,,18,64,400,53.6367906649,,7.94659329116e-05,4000,upwind,RBSOR,openmp_c,needs_improvement
19,openmp_c,64,400,central,RBGS,maxIter,validated_but_not_converged,5500,5500,4.99116026227e-05,4.014505453e-05,1.27703961548e-07,0.000506857023384,574.081339864,1477.45909091,9.83589004006e-05,0.0465454545455,1,1,0.0839890970769,0.0994164316698,0.167387771694,0.153040769688,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_019.csv,,19,64,400,574.081339864,,9.83589004006e-05,5500,central,RBGS,openmp_c,validated_but_not_converged
20,openmp_c,64,400,central,RBSOR,maxIter,validated_but_not_converged,5500,5500,4.99116112141e-05,4.01450639604e-05,1.27699708068e-07,0.000506840141322,70.2990259696,193.290909091,7.80452949485e-05,0.0,1,1,0.0839891061466,0.099416429591,0.167387781209,0.153040757526,0.09,0.12,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_020.csv,,20,64,400,70.2990259696,,7.80452949485e-05,5500,central,RBSOR,openmp_c,validated_but_not_converged
21,openmp_c,64,1000,upwind,RBGS,maxIter,needs_improvement,7000,7000,3.44152371435e-05,2.54011275894e-05,9.59597103792e-08,0.000380864090495,519.992870227,1056.43571429,9.77776596704e-05,0.000142857142857,1,0,0.158348176653,0.211541453599,0.332843716444,0.320287639619,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_021.csv,,21,64,1000,519.992870227,,9.77776596704e-05,7000,upwind,RBGS,openmp_c,needs_improvement
22,openmp_c,64,1000,upwind,RBSOR,maxIter,needs_improvement,7000,7000,3.44152320063e-05,2.5401129798e-05,9.59671524012e-08,0.00038089362788,71.5681211166,154.557142857,7.77800383048e-05,0.0,1,0,0.158348172091,0.211541440094,0.332843710272,0.320287631319,0.16,0.18,c_openmp_t4,array_split,comparison/results/split/c_openmp_t4_case_022.csv,,22,64,1000,71.5681211166,,7.77800383048e-05,7000,upwind,RBSOR,openmp_c,needs_improvement
