case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency,best_total_cores,best_runtime_median_s
case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,32,1000,upwind,RBGS,2000,250,1,1,1,3,0.8449923769,0.8478183945,0.8461786211,1,0.8461786211,1,1,1,0.8461786211
case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_looped,c,openmp_domain,looped,32,1000,upwind,RBSOR,2000,250,1,1,1,3,0.5493187308,0.5534108715,0.5497928075,1,0.5497928075,1,1,1,0.5497928075
case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,1000,upwind,RBGS,2000,250,1,1,1,3,0.6602129005,0.6637471095,0.6605198719,1,0.6605198719,1,1,1,0.6605198719
case1_N32_Re1000_upwind_steps2000_p250,c_openmp_domain_vectorized,c,openmp_domain,vectorized,32,1000,upwind,RBSOR,2000,250,1,1,1,3,0.4132394008,0.414299493,0.4144544862,1,0.4144544862,1,1,1,0.4144544862
case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,1000,upwind,RBGS,2000,250,1,1,1,3,0.8480188921,0.8510976223,0.8506225608,1,0.8506225608,1,1,1,0.8506225608
case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_looped,cpp,openmp_domain,looped,32,1000,upwind,RBSOR,2000,250,1,1,1,3,0.5499695651,0.5524041628,0.552117575,1,0.552117575,1,1,1,0.552117575
case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,1000,upwind,RBGS,2000,250,1,1,1,3,0.6584198102,0.6622198683,0.6607771255,1,0.6607771255,1,1,1,0.6607771255
case1_N32_Re1000_upwind_steps2000_p250,cpp_openmp_domain_vectorized,cpp,openmp_domain,vectorized,32,1000,upwind,RBSOR,2000,250,1,1,1,3,0.412851043,0.4150007218,0.415971633,1,0.415971633,1,1,1,0.415971633
